Record_ID,MunicipalityName,PRNAME,PRUID,CSDNAME,CSDUID,ERNAME,ERUID,CMANAME,CMAUID,FacilityType,MainCommodities,Additonal Information,Longitude,Latitude,Comments,Sourceofdataentry
2400077,Vieux-Fort,Quebec / Québec,24,Blanc-Sablon,2498005,Côte-Nord,2480,,,,,,-57.13352778,51.42236111,,Appendix B of 1995 National Marine Policy Report
2400078,Côte-Ste-Catherine,Quebec / Québec,24,Montréal,2466023,Montréal,2440,Montréal,462,Commercial,"Mining (coal), forest products, steel, general ","http://www.hsmaritime.com/ports/cote-sainte-catherine/
https://shipnext.com/port/cote-sainte-catherine-cacsc-can",-73.68180556,45.42994444,,Internal Transport Canada Research
3500001,Amherstburg,Ontario,35,Amherstburg,3537028,Windsor--Sarnia,3570,Windsor,559,Commercial/Leisure,N/A,https://www.marinetraffic.com/en/ais/details/ports/2553/Canada_port:AMHERSTBURG,-83.11289391,42.09843766,,Internal Transport Canada Research
3500002,Attiwapiskat,Ontario,35,Attawapiskat 91A,3560051,Northwest / Nord-ouest,3595,,,,,,-82.42745887,52.92481547,Remote Port as per Appendix C of 1995 National Marine Policy Report,Appendix C of 1995 National Marine Policy Report
3500003,Barrie,Ontario,35,Barrie,3543042,Kitchener--Waterloo--Barrie,3540,Barrie,568,Leisure,N/A,https://www.barrie.ca/Living/ParksTrails/Waterfront/Pages/Marina.aspx,-79.68897222,44.38372222,,Internal Transport Canada Research
3500004,Boyds Bay,Ontario,35,Bracebridge,3544018,Muskoka--Kawarthas,3520,,,,,,-79.05197222,45.04836111,,Appendix B of 1995 National Marine Policy Report
3500005,Brockville,Ontario,35,Brockville,3507015,Ottawa,3510,Brockville,512,,,,-75.6815905,44.58806373,Sites to be Deproclaimed as per Appendix D of 1995 National Marine Policy Report,Appendix D of 1995 National Marine Policy Report
3500006,Bronte Harbour,Ontario,35,Oakville,3524001,Toronto,3530,Toronto,535,Leisure,N/A,https://www.oakville.ca/culturerec/bronte-harbour.html,-79.70820378,43.39364015,,Internal Transport Canada Research
3500007,Burlington,Ontario,35,Burlington,3524002,Hamilton--Niagara Peninsula,3550,Hamilton,537,,,,-79.7964112,43.32431358,,Appendix B of 1995 National Marine Policy Report
3500008,Byng Inlet,Ontario,35,"Parry Sound, Unorganized, Centre Part",3549096,Northeast / Nord-est,3590,,,,,,-80.55232423,45.77011049,Sites to be Deproclaimed as per Appendix D of 1995 National Marine Policy Report,Appendix D of 1995 National Marine Policy Report
3500009,Clarkson ,Ontario,35,Mississauga,3521005,Toronto,3530,Toronto,535,Commercial,Oil,"https://www.marinetraffic.com/en/ais/details/ports/2556
http://heritagemississauga.com/business/clarkson-refinery/",-79.60997077,43.48412355,,Internal Transport Canada Research
3500010,Cobourg,Ontario,35,Cobourg,3514021,Muskoka--Kawarthas,3520,Cobourg,527,Leisure,N/A,https://www.cobourghistory.ca/harbour,-78.16605711,43.95409847,,Internal Transport Canada Research
3500011,Collingwood,Ontario,35,Collingwood,3543031,Kitchener--Waterloo--Barrie,3540,Collingwood,567,Leisure,N/A,https://www.collingwood.ca/culture-recreation-events/harbour,-80.22756141,44.50995233,,Internal Transport Canada Research
3500012,Cornwall,Ontario,35,Cornwall,3501012,Ottawa,3510,Cornwall,501,Commercial/Leisure,"Lumber, pulp, petroleum",https://shipnext.com/port/cornwall-cacwl-can,-74.7103791,45.01508127,,Internal Transport Canada Research
3500013,Courtright,Ontario,35,St. Clair,3538003,Windsor--Sarnia,3570,Sarnia,562,Commercial,"Crude oil, dry bulk ",https://shipnext.com/port/courtright-cacrr-can,-82.47304478,42.82352992,,Internal Transport Canada Research
3500014,Cumberland,Ontario,35,Alfred and Plantagenet,3502023,Ottawa,3510,,,,,,-75.06733333,45.52105556,,Appendix B of 1995 National Marine Policy Report
3500015,Depot Harbour,Ontario,35,Carling,3549036,Northeast / Nord-est,3590,,,,,,-80.10281148,45.31603999,,Appendix B of 1995 National Marine Policy Report
3500016,Fort Albany,Ontario,35,Fort Albany (Part) 67,3560050,Northwest / Nord-ouest,3595,,,,,,-81.64818304,52.28446736,Slab of land potentially used for unloading cargo with transport roads attached; no dock in water,Appendix C of 1995 National Marine Policy Report
3500017,French River,Ontario,35,French River / Rivière des Français,3552001,Northeast / Nord-est,3590,,,,,,-80.57329233,46.02084581,Sites to be Deproclaimed as per Appendix D of 1995 National Marine Policy Report,Appendix D of 1995 National Marine Policy Report
3500018,Frenchmen's Bay,Ontario,35,Pickering,3518001,Toronto,3530,Toronto,535,Leisure,N/A,https://www.frenchmansbaymarina.com/about-us/,-79.09112269,43.8161163,,Internal Transport Canada Research
3500019,Goderich ,Ontario,35,Goderich,3540028,Stratford--Bruce Peninsula,3580,,,Commercial/Leisure,"Salt, grain, calcium chloride",https://www.goderich.ca/en/doing-business/location.aspx#,-81.72759188,43.74650588,,Internal Transport Canada Research
3500020,Kenora,Ontario,35,Kenora,3560010,Northwest / Nord-ouest,3595,Kenora,598,,,,-94.49061338,49.76773094,,Appendix B of 1995 National Marine Policy Report
3500021,Killarney,Ontario,35,Killarney,3552036,Northeast / Nord-est,3590,,,Leisure,N/A,https://shipnext.com/port/killarney-cakly-can,-81.51551302,45.97094778,,Internal Transport Canada Research
3500022,Kingston,Ontario,35,Kingston,3510010,Kingston--Pembroke,3515,Kingston,521,Leisure,N/A,"https://shipnext.com/port/kingston-cakin-can
https://www.cityofkingston.ca/residents/recreation/facilities/marinas",-76.47791667,44.22838889,,Internal Transport Canada Research
3500023,Kingsville,Ontario,35,Kingsville,3537013,Windsor--Sarnia,3570,Leamington,557,Commercial/Leisure,N/A,https://shipnext.com/port/kingsville-cakvl-can,-82.73308457,42.02659999,,Internal Transport Canada Research
3500024,Learnington,Ontario,35,Leamington,3537003,Windsor--Sarnia,3570,Leamington,557,,,,-82.60157838,42.02832829,,Appendix B of 1995 National Marine Policy Report
3500025,Meldrum Bay,Ontario,35,"Manitoulin, Unorganized, West Part",3551094,Northeast / Nord-est,3590,,,Commercial/Leisure,"Dry bulk, limestone ",https://shipnext.com/port/meldrum-bay-camdb-can,-83.11422336,45.92604284,,Internal Transport Canada Research
3500026,Midland,Ontario,35,Midland,3543074,Kitchener--Waterloo--Barrie,3540,Midland,571,Commercial/Leisure,Grain,"https://www.midland.ca/tourism/midland-harbour
https://shipnext.com/port/midland-camid-can",-79.89312351,44.75521687,,Internal Transport Canada Research
3500027,Missiassauga,Ontario,35,Mississauga,3521005,Toronto,3530,Toronto,535,Commercial,"Liquid bulk, dry bulk",https://shipnext.com/port/mississauga-camis-can,-79.58478935,43.55034364,,Internal Transport Canada Research
3500028,Moose Factory ,Ontario,35,Factory Island 1,3556094,Northeast / Nord-est,3590,,,,,,-80.57778236,51.2740856,Slab of land potentially used for unloading cargo with transport roads attached; no dock in water,Appendix C of 1995 National Marine Policy Report
3500029,Morrisburg,Ontario,35,South Dundas,3501020,Ottawa,3510,,,Commercial,Salt ,"http://www.rideaubulk.com/
https://shipnext.com/port/morrisburg-camob-can",-75.18033638,44.89355932,,Internal Transport Canada Research
3500030,Nanticoke,Ontario,35,Haldimand County,3528018,Hamilton--Niagara Peninsula,3550,,,Commercial,"Oil, liquid petroleum, coal","https://shipnext.com/port/nanticoke-canan-can
https://www.imperialoil.ca/en-CA/Company/Operations/Nanticoke",-80.04366389,42.79768565,,Internal Transport Canada Research
3500031,Oakville,Ontario,35,Oakville,3524001,Toronto,3530,Toronto,535,Leisure,N/A,https://www.oakville.ca/culturerec/harbours.html,-79.66686632,43.44063006,,Internal Transport Canada Research
3500032,Owen Sound,Ontario,35,Owen Sound,3542059,Stratford--Bruce Peninsula,3580,Owen Sound,566,Commercial,"Grain, bulk cargo ",https://shipnext.com/port/owen-sound-caows-can,-80.94171327,44.57823537,,Internal Transport Canada Research
3500033,Parry Sound,Ontario,35,Parry Sound,3549032,Northeast / Nord-est,3590,,,Commercial/Leisure,"Salt, petroleum products","https://shipnext.com/port/parry-sound-caprs-can
https://www.parrysound.ca/en/visit-us/marina.asp
https://www.canada.ca/en/news/archive/2007/03/transfer-port-parry-sound-smelter-street-wharf-facility-corporation-town-parry-sound.html",-80.04356943,45.34347773,,Internal Transport Canada Research
3500034,Pelee Island,Ontario,35,Pelee,3537001,Windsor--Sarnia,3570,,,Leisure,N/A,https://www.pelee.org/faq/,-82.69049295,41.76316481,,Internal Transport Canada Research
3500035,Penetanguishene Bay,Ontario,35,Penetanguishene,3543072,Kitchener--Waterloo--Barrie,3540,Midland,571,,,,-79.93535088,44.78896383,Sites to be Deproclaimed as per Appendix D of 1995 National Marine Policy Report,Appendix D of 1995 National Marine Policy Report
3500036,Penetanguishine ,Ontario,35,Penetanguishene,3543072,Kitchener--Waterloo--Barrie,3540,Midland,571,Leisure,N/A,"https://shipnext.com/port/penetanguishene-capth-can
https://www.penetanguishene.ca/en/discover/town-dock-and-slip-availability.asp",-79.93861723,44.7877238,,Internal Transport Canada Research
3500037,Picton,Ontario,35,Prince Edward County,3513020,Kingston--Pembroke,3515,,,Commercial,"Salt, aggregates, farming products, dry bulk, steel",https://www.pictonterminals.ca/,-77.13543511,44.01144986,,Internal Transport Canada Research
3500038,Port Burwell,Ontario,35,Bayham,3534005,London,3560,,,,,,-80.80761742,42.64840246,Sites to be Deproclaimed as per Appendix D of 1995 National Marine Policy Report,Appendix D of 1995 National Marine Policy Report
3500039,Port Colborne,Ontario,35,Port Colborne,3526011,Hamilton--Niagara Peninsula,3550,St. Catharines - Niagara,539,Commercial/Leisure,"Aggregates, grain, energy products",http://portcolborne.ca/page/port_facilities,-79.25226031,42.87351896,,Internal Transport Canada Research
3500040,Port Darlington (Bowmanville),Ontario,35,Clarington,3518017,Toronto,3530,Oshawa,532,Leisure,N/A,https://yorkdurhamheadwaters.ca/directory/id/port-darlington-marina/,-78.66489695,43.88913555,,Internal Transport Canada Research
3500041,Port Dover,Ontario,35,Norfolk County,3528052,Hamilton--Niagara Peninsula,3550,Norfolk,547,,,,-80.19369623,42.78367002,Sites to be Deproclaimed as per Appendix D of 1995 National Marine Policy Report,Appendix D of 1995 National Marine Policy Report
3500042,Port Hope,Ontario,35,Port Hope,3514020,Muskoka--Kawarthas,3520,Port Hope,528,Leisure,N/A,https://shipnext.com/port/port-hope-caope-can,-78.29111704,43.94151028,,Internal Transport Canada Research
3500043,Port Lambton,Ontario,35,Dawn-Euphemia,3538007,Windsor--Sarnia,3570,,,,,,-82.00161111,42.65711111,,Appendix B of 1995 National Marine Policy Report
3500044,Port McNicoll ,Ontario,35,Kawartha Lakes,3516010,Muskoka--Kawarthas,3520,Kawartha Lakes,530,,,,-79.13538889,44.74633333,,Appendix B of 1995 National Marine Policy Report
3500045,Port of Johnstown/Prescott,Ontario,35,Edwardsburgh/Cardinal,3507004,Ottawa,3510,,,Commercial,"Grain, salt, calcium chloride, coal, lumber, potash","https://shipnext.com/port/prescott-capre-can
http://www.portofjohnstown.com/page/history-of-the-port",-75.47392271,44.73148333,,Internal Transport Canada Research
3500046,Port Stanley,Ontario,35,Malahide,3534010,London,3560,,,,,,-81.03533333,42.65858333,,Appendix B of 1995 National Marine Policy Report
3500047,Port Weller,Ontario,35,St. Catharines,3526053,Hamilton--Niagara Peninsula,3550,St. Catharines - Niagara,539,Commercial,N/A,"https://shipnext.com/port/port-weller-capwe-can
http://www.hsmaritime.com/ports/port-weller/",-79.21576662,43.22774922,,Internal Transport Canada Research
3500048,Rondeau,Ontario,35,Chatham-Kent,3536020,Windsor--Sarnia,3570,Chatham-Kent,556,,,,-81.91416376,42.26027035,Sites to be Deproclaimed as per Appendix D of 1995 National Marine Policy Report,Appendix D of 1995 National Marine Policy Report
3500049,Sarnia,Ontario,35,Sarnia,3538030,Windsor--Sarnia,3570,Sarnia,562,Commercial/Leisure,"Bulk cargo, grain",https://www.sarnia.ca/business-planning-and-development/economic-development/sarnia-harbour/,-82.41675113,42.98391385,,Internal Transport Canada Research
3500050,Sault-Ste-Marie,Ontario,35,Sault Ste. Marie,3557061,Northeast / Nord-est,3590,Sault Ste. Marie,590,Commercial/Leisure,"Coal, petroleum",https://shipnext.com/port/sault-ste-marie-cassm-can,-84.36758333,46.51341667,,Internal Transport Canada Research
3500051,Sombra,Ontario,35,St. Clair,3538003,Windsor--Sarnia,3570,Sarnia,562,Leisure,N/A,https://shipnext.com/port/sombra-casom-can,-82.50736111,42.65711111,,Internal Transport Canada Research
3500052,South Baymouth,Ontario,35,Wikwemikong Unceded,3551043,Northeast / Nord-est,3590,,,,,,-82.00225,45.55966667,,Appendix B of 1995 National Marine Policy Report
3500053,Southampton,Ontario,35,Saugeen Shores,3541045,Stratford--Bruce Peninsula,3580,,,,,,-81.3611314,44.49966427,Sites to be Deproclaimed as per Appendix D of 1995 National Marine Policy Report,Appendix D of 1995 National Marine Policy Report
3500054,Spragge ,Ontario,35,The North Shore,3557040,Northeast / Nord-est,3590,,,Commercial,"Limestone, coal, salt, break bulk ",https://shipnext.com/port/spragge-caspr-can,-82.65130556,46.20497222,,Internal Transport Canada Research
3500055,Stella,Ontario,35,Loyalist,3511005,Kingston--Pembroke,3515,Kingston,521,,,,-76.70261553,44.17174732,,Appendix B of 1995 National Marine Policy Report
3500056,Thorold,Ontario,35,Thorold,3526037,Hamilton--Niagara Peninsula,3550,St. Catharines - Niagara,539,Commercial,"Steel, project cargo, bulk cargo, breakbulk",http://www.fmtcargo.com/locations/thorold/index.html,-79.19605556,43.11161111,,Internal Transport Canada Research
3500057,Tobermory,Ontario,35,Northern Bruce Peninsula,3541069,Stratford--Bruce Peninsula,3580,,,,,,-81.15186111,45.25588889,,Appendix B of 1995 National Marine Policy Report
3500058,Trent Port Marina,Ontario,35,Quinte West,3512015,Kingston--Pembroke,3515,Belleville,522,Leisure,N/A,https://www.quintewest.ca/en/marina/About-Our-Marina.asp?_mid_=95595,-77.57269444,44.09819444,,Internal Transport Canada Research
3500059,Trenton,Ontario,35,Quinte West,3512015,Kingston--Pembroke,3515,Belleville,522,,,,-77.57294683,44.0983487,Sites to be Deproclaimed as per Appendix D of 1995 National Marine Policy Report,Appendix D of 1995 National Marine Policy Report
3500060,Wallaceburg,Ontario,35,Chatham-Kent,3536020,Windsor--Sarnia,3570,Chatham-Kent,556,Commercial,"Bulk, general cargo",https://shipnext.com/port/wallaceburg-cawal-can,-82.39322222,42.58155556,,Internal Transport Canada Research
3500061,Walpole Island,Ontario,35,Chatham-Kent,3536020,Windsor--Sarnia,3570,Chatham-Kent,556,,,,-82.00177778,42.61505556,,Appendix B of 1995 National Marine Policy Report
3500062,Whitefish River,Ontario,35,Whitefish River (Part) 4,3551040,Northeast / Nord-est,3590,,,Leisure,N/A,"https://shipnext.com/port/whitefish-river-cawhf-can
http://www.whitefishriver.ca/",-81.77446158,46.06717866,,Internal Transport Canada Research
3500063,Wolfe Island,Ontario,35,Frontenac Islands,3510005,Kingston--Pembroke,3515,Kingston,521,,,,-76.35691474,44.13683346,,Appendix B of 1995 National Marine Policy Report
3500064,Little Current,Ontario,35,Northeastern Manitoulin and the Islands,3551017,Northeast / Nord-est,3590,,,Leisure,N/A,http://www.portoflittlecurrent.com/,-81.90161111,45.97236111,,Internal Transport Canada Research
4600001,Berens River,Manitoba,46,"Division No. 19, Unorganized",4619045,North / Nord,4680,,,,,,-97.02185,52.35560287,Remote Port as per Appendix C of 1995 National Marine Policy Report,Appendix C of 1995 National Marine Policy Report
4600002,Churchill,Manitoba,46,Churchill,4623056,North / Nord,4680,,,Commercial/Leisure,"Grain, canola","https://shipnext.com/port/churchill-cachv-can
http://www.portofchurchill.ca/",-94.19016508,58.77390332,,Internal Transport Canada Research
4600003,Gimli,Manitoba,46,Gimli,4618031,Interlake,4660,,,Commercial/Leisure,N/A,https://www.gimliharbour.ca/,-96.98465742,50.63055587,,Internal Transport Canada Research
4700001,Bushell (Black Bay),Saskatchewan,47,"Division No. 18, Unorganized",4718090,Northern / Nord,4760,,,,,,-108.7420556,59.51619444,,Appendix B of 1995 National Marine Policy Report
4700002,Fond du Lac,Saskatchewan,47,Fond du Lac 227,4718824,Northern / Nord,4760,,,,,,-107.2009722,59.31769444,,Appendix B of 1995 National Marine Policy Report
